query_asm	ref_asm	band	anim_ani	ani_gated	ani_npmle	lrt_np	ani_spatial
GCF_014200305.1	GCF_014201135.1	0.8-0.85	86.5765	86.9052	83.09965048351128	8.644483387921355	83.09965048351128
GCA_002296525.1	GCA_002448715.1	0.8-0.85	85.6102	87.3827	87.23186412938657	0.3759950799330909	87.3827
GCA_014360645.1	GCA_015711825.1	0.8-0.85	86.5645	88.9766	89.03744907177298	0.22623434512024687	88.9766
GCF_003096675.1	GCF_004363095.1	0.8-0.85	86.2649	87.7845	85.17098666716552	0.3329855127594783	87.7845
GCF_015690345.1	GCF_016862935.1	0.8-0.85	87.2672	90.396	90.1547526491284	-0.0717902195692659	90.396
GCF_000482865.1	GCF_900111175.1	0.8-0.85	85.5727	86.4399	87.05327033439285	7.576188924307644	87.05327033439285
GCF_000224415.1	GCF_005877055.1	0.8-0.85	86.5704	87.1246	87.17592995231392	-0.018148883391404524	87.1246
GCF_001591405.1	GCA_019116945.1	0.8-0.85	85.5958	88.8206	89.15807982621624	1.8815434120720056	88.8206
GCF_008001015.1	GCF_008386315.1	0.8-0.85	86.0554	84.4209	86.3075970984133	6.41193217608361	86.3075970984133
GCF_001422285.1	GCF_000878135.1	0.8-0.85	86.179	88.1337	87.89732639843233	0.23903227053961018	88.1337
GCA_016463095.1	GCA_000428345.2	0.8-0.85	86.6015	89.7727	89.4506605139535	0.034958670846009454	89.7727
GCF_000152705.1	GCF_000768675.1	0.8-0.85	85.3434	84.6704	85.14224910409456	1.6934544072582867	84.6704
GCA_018260615.1	GCA_018260755.1	0.8-0.85	87.4317	94.8028	89.42697204704764	0.2412150194552538	94.8028
GCA_016839265.1	GCA_001940665.1	0.8-0.85	83.0842	85.3952	85.17380853625001	0.2866646851011865	85.3952
GCA_002897695.1	GCA_013151915.1	0.8-0.85	85.9986	87.7265	87.56247933715485	0.13915577632837994	87.7265
GCF_014252255.1	GCF_014252115.1	0.8-0.85	84.6362	87.7166	87.30501469980638	2.312346569067415	87.7166
GCF_017355785.1	GCF_017355835.1	0.8-0.85	85.0611	87.4449	84.00198661893951	10.566502753352779	84.00198661893951
GCA_903821715.1	GCA_005786915.1	0.8-0.85	85.5259	92.553	89.6607458613326	0.04662961968230661	92.553
GCF_001735745.1	GCA_018673215.1	0.8-0.85	85.5436	89.8701	89.5085611535008	0.6919871550055632	89.8701
GCA_018608725.1	GCA_018673215.1	0.8-0.85	84.7473	89.6275	89.56965994357444	0.23839947245403437	89.6275
GCA_002400885.1	GCA_016764435.1	0.8-0.85	85.3765	87.1621	86.99723170054574	0.20763945311851018	87.1621
GCF_015330165.1	GCF_015330125.1	0.8-0.85	84.7452	87.1362	83.86768082002209	2.927197532741957	87.1362
GCF_014251575.1	GCF_011290385.1	0.8-0.85	84.8745	84.9698	86.19664096429673	1.2158171145949268	84.9698
GCF_008180195.1	GCF_014692515.1	0.8-0.85	86.2385	90.3646	87.63273765318161	6.919984012844907	87.63273765318161
GCF_900168045.1	GCF_000745315.1	0.8-0.85	85.0809	84.626	86.07140287740033	2.9795404016333578	84.626
GCA_003158475.1	GCA_003161955.1	0.8-0.85	86.3485	89.8603	89.44693916831609	0.13877245366211355	89.8603
GCF_000799235.1	GCF_002835665.1	0.8-0.85	85.6568	88.0223	88.68279308790888	3.605278605237345	88.0223
GCA_017651425.1	GCA_002311645.1	0.8-0.85	87.262	92.963	91.34218473709524	0.18606499740690197	92.963
GCF_015476655.1	GCF_900176595.1	0.8-0.85	86.9485	87.8477	87.79966856726455	2.651092331204609	87.8477
GCF_007827275.1	GCF_000258765.1	0.8-0.85	85.1494	87.1613	87.89941887088136	2.8411751259233142	87.1613
GCA_016866355.1	GCA_016868475.1	0.8-0.85	83.1014	88.4738	87.27199437634484	0.1948664802916653	88.4738
GCF_011762155.1	GCF_011927765.1	0.8-0.85	86.0897	91.1767	88.09756762877477	0.3388459786236808	91.1767
GCF_004364165.1	GCF_900155985.1	0.8-0.85	84.8797	88.0971	87.608660824928	6.423635453510542	87.608660824928
GCF_000745315.1	GCF_900142975.1	0.8-0.85	85.9111	85.4046	84.91881230156845	3.817169167724387	85.4046
GCA_013287545.1	GCA_013288015.1	0.8-0.85	86.584	92.2659	91.78854902375707	3.0034748884481814	92.2659
GCF_001577755.1	GCF_009913235.1	0.8-0.85	85.991	86.8229	79.44949127909743	0.8208173165867265	86.8229
GCF_003014695.1	GCF_000023125.1	0.8-0.85	85.1073	87.1182	79.13805863451199	2.2317333571782	87.1182
GCF_014692515.1	GCF_014692525.1	0.8-0.85	85.5402	89.2777	86.88201999052521	1.001525768780084	89.2777
GCF_000382125.1	GCA_905479615.1	0.8-0.85	84.0711	88.7788	88.90506968551492	0.36395289123478136	88.7788
GCA_900539915.1	GCA_001689515.1	0.8-0.85	86.2841	88.7987	90.06964830337677	7.524562793935729	90.06964830337677
GCF_005047595.1	GCF_011777505.1	0.8-0.85	84.897	87.3608	83.46519117218305	0.490225376936678	87.3608
GCF_000023465.1	GCF_900112105.1	0.8-0.85	85.0386	85.0704	87.13395674245487	9.971703329491902	87.13395674245487
GCA_002440975.1	GCA_015709215.1	0.8-0.85	85.4854	90.0448	90.26997845778956	0.12277822460578136	90.0448
GCA_903907915.1	GCA_002479785.1	0.8-0.85	84.1141	93.9422	92.27655564399845	0.2511210770188228	93.9422
GCF_007197735.1	GCF_001439665.1	0.8-0.85	84.8952	86.2817	86.3897097466344	0.0037301110435237206	86.2817
GCA_017464285.1	GCA_017446025.1	0.8-0.85	85.7274	87.4498	87.43688291250997	5.105877472295788	87.43688291250997
GCF_000943555.1	GCF_000943565.1	0.8-0.85	85.4129	86.9525	85.02964040191529	-0.08724227927132233	86.9525
GCA_016868875.1	GCA_005799025.1	0.8-0.85	84.9808	89.8802	89.43636451770102	1.5600431533883352	89.8802
GCA_002381125.1	GCA_002305015.1	0.8-0.85	85.3742	87.852	88.62039264667567	4.700498141820617	87.852
GCA_009926405.1	GCA_903856555.1	0.8-0.85	85.1618	90.1758	84.1352678735532	0.1991375289829307	90.1758
GCA_002389465.1	GCA_003648625.1	0.8-0.85	85.3113	93.1836	92.30891704959544	1.6813471771717161	93.1836
GCA_002366675.1	GCF_003148645.1	0.8-0.85	85.5245	91.3124	90.16434873213966	0.031288302881989694	91.3124
GCF_004115975.1	GCF_014062315.1	0.8-0.85	84.9781	87.9639	86.44409202254552	0.05477627325137746	87.9639
GCA_014376445.1	GCA_014378525.1	0.8-0.85	84.9457	91.3703	90.94981096231737	2.9321920545889952	91.3703
GCA_001770015.1	GCA_001769975.1	0.8-0.85	84.3271	88.9013	88.48519260802583	1.1333794520855918	88.9013
GCA_002715375.1	GCA_002474345.1	0.8-0.85	84.7399	89.9083	89.59117363330309	3.7819670593574983	89.9083
GCA_903871855.1	GCF_003570935.1	0.8-0.85	86.4778	90.6171	90.55735231817627	2.6043404042636666	90.6171
GCA_004116455.1	GCF_004116625.1	0.8-0.85	85.9613	85.5543	87.94090676700873	6.0304622368335	87.94090676700873
GCF_000277405.1	GCF_000259275.1	0.8-0.85	84.2487	88.5948	88.55561676719455	1.034938144037767	88.5948
GCF_000024885.1	GCF_000265295.1	0.8-0.85	84.6718	85.9539	80.79188834680376	2.1789029112383105	85.9539
GCF_000259275.1	GCF_900461455.1	0.8-0.85	84.5721	91.8228	91.76166465092106	0.10980714498371213	91.8228
GCF_003544935.1	GCF_003544855.1	0.8-0.85	84.0421	85.919	85.60332779389906	0.30133280875043056	85.919
GCF_002272925.1	GCF_002272875.1	0.8-0.85	85.2027	89.2581	88.62126047985241	0.32204873185560245	89.2581
GCF_013177675.1	GCF_013201935.1	0.8-0.85	84.5765	88.4795	87.99150942003827	1.8755654562351083	88.4795
GCF_004006315.1	GCF_000021725.1	0.8-0.85	85.4338	86.9377	85.0662207172686	22.35351821555014	85.0662207172686
GCA_002869535.1	GCF_000092245.1	0.8-0.85	86.0096	85.7956	84.68176760493245	0.135848743506358	85.7956
GCA_015488995.1	GCA_015485845.1	0.8-0.85	86.4013	93.6997	93.59297794032803	0.5271027797298729	93.6997
GCA_004116725.1	GCF_003346775.1	0.8-0.85	84.0534	87.8991	87.88376575622247	0.5548666192525786	87.8991
GCA_011065175.1	GCA_011064875.1	0.8-0.85	85.9942	91.8496	91.67657344008656	0.3860225799381425	91.8496
GCA_011065175.1	GCA_011065045.1	0.8-0.85	85.1389	93.5185	93.48696108545809	0.1828763277275609	93.5185
GCF_000012125.1	GCF_900169085.1	0.8-0.85	83.0045	84.1604	79.0871679277189	2.23389740227276	84.1604
GCA_003577245.1	GCA_015075555.1	0.8-0.85	84.7499	84.8957	85.81527104642748	3.231643482072286	84.8957
GCA_002719675.1	GCA_009392295.1	0.8-0.85	85.1369	88.2156	85.83320216463537	0.6908706357234564	88.2156
GCA_002898215.1	GCA_011048275.1	0.8-0.85	84.3024	84.0561	85.1797018830187	9.117282816027	85.1797018830187
GCA_013112725.1	GCA_014584575.1	0.8-0.85	86.211	92.1886	92.12830603478012	0.5844534022038488	92.1886
GCA_003130875.1	GCA_011362805.1	0.8-0.85	85.6026	91.0743	90.90669746860014	1.8135421753929677	91.0743
GCA_002412595.1	GCF_003966975.1	0.8-0.85	83.9628	86.6414	81.37178231449317	0.8950300177338022	86.6414
GCA_011191975.1	GCA_016932435.1	0.8-0.85	84.7795	87.1034	87.05229899367846	0.2547822953794281	87.1034
GCA_008373165.1	GCA_002725925.1	0.8-0.85	85.3055	89.3584	89.33045997181243	0.8356663362555992	89.3584
GCA_002718395.1	GCA_002710905.1	0.8-0.85	85.1304	89.4826	88.5397173106469	3.114710404331504	89.4826
GCA_905614375.1	GCA_018649665.1	0.8-0.85	86.5709	90.8377	90.78007980973565	2.6638186154646064	90.8377
GCA_014874475.1	GCA_014360895.1	0.8-0.85	86.7283	92.8114	92.79288781960435	0.3626319226449368	92.8114
GCA_005880575.1	GCA_005883775.1	0.8-0.85	85.8807	90.1504	90.00499842074274	0.9119678333025831	90.1504
GCA_016875875.1	GCA_001795315.1	0.8-0.85	84.9743	91.798	91.66596870727837	0.2730118036839926	91.798
GCA_016930185.1	GCA_016926705.1	0.8-0.85	85.9554	91.4745	91.35088177091589	0.24621871087674663	91.4745
GCA_001567485.1	GCA_016716525.1	0.8-0.85	85.9683	88.5132	85.41139888779239	1.9432894924584616	88.5132
GCA_012728875.1	GCA_012522635.1	0.8-0.85	85.4042	88.1816	89.31460630017345	1.0743181320790427	88.1816
GCF_016807185.1	GCA_003249025.1	0.8-0.85	86.1158	91.2523	88.57685651326088	0.6812559457002862	91.2523
GCF_014697425.1	GCF_014697475.1	0.8-0.85	87.082	90.9187	87.13119356106928	0.8446347925200826	90.9187
GCA_003212515.1	GCA_003279445.1	0.8-0.85	84.6926	83.8499	83.3112677350312	1.632261502215897	83.8499
GCF_003007785.1	GCF_017312365.1	0.8-0.85	86.058	91.445	87.35381771590217	0.6596124588730277	91.445
GCF_001637315.1	GCF_009846485.1	0.8-0.85	86.7656	91.6398	88.09475856876549	0.8551717466381206	91.6398
GCF_000317225.1	GCF_000317245.1	0.8-0.85	87.8672	92.6045	92.07708017043484	0.4825610620880525	92.6045
GCF_000025125.1	GCA_000737945.1	0.8-0.85	85.9597	87.2794	87.97653534452898	2.0492043213166653	87.2794
GCA_003216835.1	GCA_003279015.1	0.8-0.85	84.466	87.1934	86.66837773052652	2.5749120762551456	87.1934
GCA_002168155.1	GCA_002470305.1	0.8-0.85	83.8832	88.7753	84.28404635284858	0.6264299691039241	88.7753
GCF_003846445.1	GCF_000010065.1	0.8-0.85	85.2414	85.7056	84.22474140178133	8.782519685566513	84.22474140178133
GCF_001548435.1	GCF_001485215.1	0.8-0.85	85.4678	86.8726	86.28829275416308	0.18974268804322492	86.8726
GCF_015840335.1	GCA_016882385.1	0.8-0.85	85.5182	89.7272	89.63018530454445	0.4417695886356796	89.7272
GCA_003215795.1	GCA_003212515.1	0.8-0.85	84.5988	87.3615	86.40281001949755	0.8528440011169778	87.3615
GCF_004323185.1	GCF_000317225.1	0.8-0.85	87.559	91.2931	91.29605670401646	0.8383704099796887	91.2931
GCF_012912105.1	GCF_000828085.3	0.8-0.85	88.19	92.0145	90.60418996695935	0.2397731978965112	92.0145
GCA_003277985.1	GCA_902564695.1	0.8-0.85	85.214	85.9003	87.53362625404102	4.573055545001182	85.9003
GCF_900009275.2	GCA_903893625.1	0.8-0.85	87.6883	95.8865	95.92080134704858	0.3327589019287558	95.8865
GCF_001597745.1	GCF_000316645.1	0.8-0.85	87.0126	91.431	90.63566280714363	-0.024573052974801612	91.431
GCA_019116905.1	GCA_910586745.1	0.8-0.85	85.0194	92.9227	92.84240733707426	0.1513852338363506	92.9227
GCA_001603805.1	GCF_004087915.1	0.8-0.85	83.4321	85.2312	82.28419964412097	1.3188827196227066	85.2312
GCF_003426945.1	GCA_002355995.1	0.8-0.85	85.3231	90.3514	89.94764025232017	3.340480718173353	90.3514
GCA_015488545.1	GCA_015490435.1	0.8-0.85	84.6901	91.5233	89.02398681416193	0.1266334601729966	91.5233
GCF_000091545.1	GCF_004307015.1	0.8-0.85	85.0225	90.0166	87.29573633527816	0.37937523831337217	90.0166
GCF_000794385.1	GCF_002964845.1	0.8-0.85	84.9145	87.154	83.34743238381994	0.4703097881160829	87.154
GCF_013389365.1	GCF_000745975.1	0.8-0.85	87.4886	91.5607	91.54760220629426	0.2740728720979746	91.5607
GCF_008330225.1	GCA_003151775.1	0.8-0.85	86.8944	89.8744	90.0092165153712	1.6628562260964372	89.8744
GCA_903869265.1	GCA_002841785.1	0.8-0.85	86.3377	91.7219	91.45049047071542	2.3635740734275714	91.7219
GCF_004917065.1	GCF_016458305.1	0.8-0.85	85.8958	85.7266	86.10877293412103	0.2963427863523975	85.7266
GCA_002747145.1	GCF_000373985.1	0.8-0.85	86.1491	90.9575	90.89471728282906	0.1636670584105957	90.9575
GCA_903869265.1	GCA_001799285.1	0.8-0.85	85.9444	89.199	89.01938558917313	1.6702218225473189	89.199
GCA_012728915.1	GCA_013177795.1	0.8-0.85	86.511	88.2111	88.52967369527266	1.684465503980391	88.2111
GCF_004917065.1	GCF_018986915.1	0.8-0.85	85.8381	84.9795	85.61569094520084	1.2966577747965857	84.9795
GCF_000175115.2	GCF_016458305.1	0.8-0.85	86.486	87.3891	87.42120211130494	0.6416527223300363	87.3891
GCF_013389365.1	GCF_000373985.1	0.8-0.85	87.3143	91.4333	91.43372464800936	0.5753341108552377	91.4333
GCA_005774545.1	GCA_012026975.1	0.8-0.85	85.3801	89.3911	89.26042891031277	0.36693309720294565	89.3911
GCA_002419215.1	GCA_018053845.1	0.8-0.85	85.9184	89.5259	89.6477973812877	1.5102936864457206	89.5259
GCA_003574885.1	GCF_018476905.1	0.8-0.85	85.6975	87.1859	86.83937784938105	0.08186604245202034	87.1859
GCA_011046855.1	GCA_003712145.1	0.8-0.85	85.6711	88.1024	89.13940331563448	5.876330191969828	89.13940331563448
GCA_001797465.1	GCA_016182655.1	0.8-0.85	86.003	88.7362	86.98149266177533	1.7703858079748898	88.7362
GCA_002869015.1	GCA_002869005.1	0.8-0.85	83.7732	88.5335	87.73560488540191	1.0480200213060016	88.5335
GCA_003105225.1	GCA_001798885.1	0.8-0.85	85.1934	90.1109	89.96799895958222	0.5655594531485804	90.1109
GCA_002067165.1	GCA_002067475.1	0.8-0.85	86.2284	90.2082	89.92950485596636	1.1185197119311852	90.2082
GCF_009914765.1	GCF_900129975.1	0.8-0.85	85.6329	84.0669	83.25499803061922	-0.1950828175172319	84.0669
GCF_001936595.1	GCA_000307955.1	0.8-0.85	85.3326	90.5532	88.83629420061129	0.4475514353721337	90.5532
GCF_013376475.1	GCF_013376455.1	0.8-0.85	85.8235	88.7111	84.02596713596479	1.7358721902637626	88.7111
GCF_000020965.1	GCF_000021645.1	0.8-0.85	83.6595	84.8093	84.28970672613373	10.222302122319434	84.28970672613373
GCA_003135895.1	GCA_003162415.1	0.8-0.85	84.8434	88.4841	88.22580697866981	3.1160391293133216	88.4841
GCA_003132805.1	GCA_003131685.1	0.8-0.85	85.3805	89.9747	89.68066631525996	1.3890538526607088	89.9747
GCA_001799715.1	GCA_001799845.1	0.8-0.85	85.1757	85.9488	87.25459285419298	9.601206915765943	87.25459285419298
GCA_002311025.1	GCA_017417005.1	0.8-0.85	85.1516	89.9169	89.7757633414381	0.4511507911016679	89.9169
GCA_009773155.1	GCA_019135865.1	0.8-0.85	86.1968	89.3213	84.36345313110878	4.787847745628824	89.3213
GCA_002402375.1	GCA_016218625.1	0.8-0.85	86.5821	92.3496	91.7935068509953	1.607379301477465	92.3496
GCA_003151115.1	GCA_013036095.1	0.8-0.85	85.3043	86.073	84.70114347312813	3.882372572201348	86.073
GCF_002797675.1	GCA_017959225.1	0.8-0.85	84.7474	86.8937	87.53157101035218	7.472023309794622	87.53157101035218
GCA_903861835.1	GCA_903915125.1	0.8-0.85	85.7943	86.4878	88.27924643249656	4.128696479501798	86.4878
GCF_000739975.1	GCF_016027715.1	0.8-0.85	84.811	86.7449	85.00300097197601	5.521016276098862	85.00300097197601
GCA_002493865.1	GCA_910584255.1	0.8-0.85	85.3967	94.3375	93.75939682030936	0.5510937721426004	94.3375
GCF_000380245.2	GCF_016908835.1	0.8-0.85	86.0514	87.7872	88.60491002460864	2.7093221767845534	87.7872
GCF_001274945.1	GCF_002813185.1	0.8-0.85	86.3919	87.0244	87.87704436928726	2.170449641432242	87.0244
GCF_900168685.1	GCF_014836905.1	0.8-0.85	85.2285	86.6104	83.4919388211009	2.9295853999176416	86.6104
GCF_001570745.1	GCF_900156755.1	0.8-0.85	84.4346	82.8258	81.4555663034843	3.1441875843124762	82.8258
GCF_000238995.1	GCF_000200735.1	0.8-0.85	85.1913	86.4227	86.17402397598441	1.9830018198351809	86.4227
GCF_000407445.1	GCF_002141365.1	0.8-0.85	85.7122	88.3017	85.91753475364942	7.859611415166228	85.91753475364942
GCA_019119225.1	GCF_001696685.1	0.8-0.85	84.5225	88.368	87.00396205227972	-0.03834478638836458	88.368
GCF_002804245.1	GCF_002804105.1	0.8-0.85	86.7699	90.3444	88.4674738015292	1.9942515515889738	90.3444
GCF_002441885.1	GCF_002260845.1	0.8-0.85	85.9306	88.7638	88.04284312186522	0.42379513647216527	88.7638
GCA_904501845.1	GCF_001183965.1	0.8-0.85	84.7738	90.8604	90.65281168430512	2.1219332328682867	90.8604
GCA_001641225.1	GCA_001641205.1	0.8-0.85	85.0305	87.9278	86.90173336527072	0.47352682583618844	87.9278
GCF_001730295.1	GCF_017377505.1	0.8-0.85	86.031	88.2122	90.17757191107441	8.45536660908624	90.17757191107441
GCF_900120005.1	GCF_000327285.1	0.8-0.85	84.9311	83.5183	81.13228724619876	4.943445613982476	83.5183
GCF_004005475.1	GCA_011524565.1	0.8-0.85	85.208	86.1728	83.64763760752496	2.8439891323323536	86.1728
GCF_006740705.1	GCF_003336365.1	0.8-0.85	86.5785	84.3317	81.22673180812998	4.26142172869595	84.3317
GCA_900554305.1	GCA_900554315.1	0.8-0.85	85.3468	91.3948	88.10813922684136	0.24136486530038326	91.3948
GCA_900754115.1	GCA_000433015.1	0.8-0.85	84.0536	90.3103	89.94375114947243	0.26478684560035504	90.3103
GCF_907165215.1	GCA_002159085.1	0.8-0.85	86.2806	88.1869	83.309985445554	7.855230276420116	83.309985445554
GCF_001886495.1	GCF_001886855.1	0.8-0.85	85.084	99.9999	99.99999999299911	0.00034392152159754344	99.9999
GCF_000017425.1	GCF_000742895.1	0.8-0.85	85.4866	87.5771	85.99519712080212	6.048772497809523	85.99519712080212
GCF_002290085.1	GCF_000701525.1	0.8-0.85	86.174	97.8976	97.45705298523235	0.00953217343802848	97.8976
GCA_000517385.1	GCF_012163115.1	0.8-0.85	86.3578	88.3257	88.77203388970155	4.406178269242446	88.3257
GCF_000014445.1	GCF_008107645.1	0.8-0.85	84.7762	86.8175	82.4413419837051	1.4732164763270248	86.8175
GCF_002813185.1	GCF_001955655.1	0.8-0.85	86.3676	86.1562	87.08168715993519	2.3822717852203823	86.1562
GCF_008764245.1	GCF_017355205.1	0.8-0.85	86.6353	89.3618	88.87011000798972	1.2979858655291991	89.3618
GCA_017633835.1	GCA_017394375.1	0.8-0.85	85.149	87.5238	87.76783096792015	0.3856102353972304	87.5238
GCA_002383695.1	GCA_002383285.1	0.8-0.85	84.9942	87.1036	89.32989629276669	14.366666552434936	89.32989629276669
GCF_016722965.1	GCF_000714935.1	0.8-0.85	84.9382	85.4965	82.59677526834105	7.039172868167043	82.59677526834105
GCF_014202595.1	GCF_001696685.1	0.8-0.85	84.6696	88.7203	82.46443311101284	0.03931531102534791	88.7203
GCA_017941235.1	GCA_002477275.1	0.8-0.85	85.8222	91.2303	88.54482778770452	0.08188106228297443	91.2303
GCA_001695645.1	GCF_004365815.1	0.8-0.85	86.3435	91.39	92.76427657389188	4.771257204294784	91.39
GCF_010882125.1	GCF_003073175.1	0.8-0.85	85.8116	85.4341	87.30523888975237	4.405173242948422	85.4341
GCA_003481775.1	GCA_017161075.1	0.8-0.85	86.4831	90.7579	87.35053449729347	3.3845313054771395	90.7579
GCF_000744285.1	GCF_000745125.1	0.8-0.85	85.6088	87.8421	85.87183091001438	1.6699208822577702	87.8421
GCF_014635565.1	GCF_903994035.1	0.8-0.85	84.8074	83.6911	85.2714233799858	4.585966409882758	83.6911
GCF_000518725.1	GCF_002843565.1	0.8-0.85	85.7827	89.2415	78.96208663039803	0.8502652307777794	89.2415
GCF_001553085.1	GCA_015257355.1	0.8-0.85	85.6835	92.1722	91.36713060906897	0.9760215193246893	92.1722
GCF_002266425.1	GCF_900128955.1	0.8-0.85	85.4198	88.1441	87.46495573978952	0.5290788494704373	88.1441
GCA_904397895.1	GCF_015140235.1	0.8-0.85	85.1102	88.5572	87.91570249776312	2.554281644264165	88.5572
GCF_009696605.1	GCA_000751555.1	0.8-0.85	85.1307	88.4089	88.12569283647554	2.013116313090677	88.4089
GCF_014333445.1	GCA_902363255.1	0.8-0.85	85.5733	90.1647	88.16619284375798	0.03734195922152139	90.1647
GCA_012838125.1	GCA_012521555.1	0.8-0.85	84.2976	90.4941	90.4036300061564	0.5870833107260296	90.4941
GCF_002161085.1	GCF_900626285.1	0.8-0.85	87.1358	91.7229	92.08705894911107	2.0686410549219545	91.7229
GCA_002376545.1	GCF_900095305.1	0.8-0.85	85.1097	88.3847	88.12237807970547	0.9001417226110391	88.3847
GCF_008281175.1	GCF_017566055.1	0.8-0.85	84.4401	84.0304	84.40843734846646	0.216036235707179	84.0304
GCF_001655775.1	GCA_017889345.1	0.8-0.85	84.1798	88.791	80.34001490300776	0.41293260034950663	88.791
GCA_012730095.1	GCA_001512485.1	0.8-0.85	85.7965	92.4477	92.05515774656476	2.186701936017556	92.4477
GCA_017397955.1	GCA_015064945.1	0.8-0.85	86.091	86.637	87.34460517422853	6.982443163168682	87.34460517422853
GCA_015064255.1	GCA_017532425.1	0.8-0.85	85.5406	86.8378	82.86647863588207	1.4958068178639223	86.8378
GCF_904420205.1	GCA_900542005.1	0.8-0.85	85.9267	87.0542	85.53893580360366	3.3950917067577393	87.0542
